#LINK
#lang	ja
#attribution_url	https://ja.wikipedia.org/wiki/%E7%99%BE%E4%BA%BA%E4%B8%80%E9%A6%96
#attribution_name	小雀
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	hyakuninisshu_data
#download_from	http://linkdata.org/work/rdf1s5297i
#property	上の句	上の句カナ	下の句	下の句カナ	作者
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
34	誰をかも　知る人にせむ　高砂の	タレオカモ　シルヒトニセン　タカサゴノ	松も昔の　友ならなくに	マツモムカシノ　トモナラナクニ	藤原興風
35	人はいさ　心も知らず　ふるさとは	ヒトワイサ　ココロモシラズ　フルサトワ	花ぞ昔の　香ににほひける	ハナゾムカシノ　カニニオイケル	紀貫之
36	夏の夜は　まだ宵ながら　明けぬるを	ナツノヨワ　マダヨイナガラ　アケヌルオ	雲のいづこに　月宿るらむ	クモノイズクニ　ツキヤドルラン	清原深養父
37	白露に　風の吹きしく　秋の野は	シラツユニ　カゼノフキシク　アキノノワ	つらぬきとめぬ　玉ぞ散りける	ツラヌキトメヌ　タマゾチリケル	文屋朝康
38	忘らるる　身をば思はず　誓ひてし	ワスラルル　ミオバオモワズ　チカイテシ	人の命の　惜しくもあるかな	ヒトノイノチノ　オシクモアルカナ	右近
39	浅茅生の　小野の篠原　しのぶれど	アサジウノ　オノノシノハラ　シノブレド	あまりてなどか　人の恋しき	アマリテナドカ　ヒトノコイシキ	参議等
40	しのぶれど　色に出でにけり　わが恋は	シノブレド　イロニイデニケリ　ワガコイワ	物や思ふと　人の問ふまで	モノヤオモート　ヒトノトーマデ	平兼盛
41	恋すてふ　わが名はまだき　立ちにけり	コイスチョー　ワガナワマダキ　タチニケリ	人知れずこそ　思ひそめしか	ヒトシレズコソ　オモイソメシカ	壬生忠見
42	契りきな　かたみに袖を　しぼりつつ	チギリキナ　カタミニソデオ　シボリツツ	末の松山　波越さじとは	スエノマツヤマ　ナミコサジトワ	清原元輔
43	逢ひ見ての　のちの心に　くらぶれば	アイミテノ　ノチノココロニ　クラブレバ	昔は物を　思はざりけり	ムカシワモノオオモワザリケリ	権中納言敦忠
